H_true,L,method,mean,std,atm3,n_used
0.8,5000,DFA,0.8012754864541818,0.02688147252473724,3.1004802133120915e-05,10000
0.8,5000,HFD,0.7942077611742877,0.0446095663178726,0.00014293751688042907,10000
0.8,5000,PSD,0.8156430630087532,0.0504725677198199,0.0002063690496167869,10000
0.8,5000,SVA,0.7898833895278682,0.04044995455591749,0.00010467220968123649,10000
0.9,1000,CP,0.8947470489763344,0.03914316469297732,9.233703407877703e-05,10000
0.9,1000,DFA,0.903122798814522,0.05266258111216103,0.0002365999838597487,10000
0.9,1000,HFD,0.8822042107775282,0.06316584906569239,0.0003756294880155428,10000
0.9,1000,PSD,0.9917737477565952,0.14220832935024738,0.004675295175003069,10000
0.9,1000,SVA,0.8723219706912859,0.055441482278901943,0.0002600635147800465,10000
0.9,2000,CP,0.8965169987857317,0.03243293412429835,5.431258314942452e-05,10000
0.9,2000,DFA,0.9010966368369986,0.03948361629514338,9.76871382719698e-05,10000
0.9,2000,HFD,0.8852702092983467,0.05643751161099597,0.0002655522962211997,10000
0.9,2000,PSD,0.9497061266800989,0.09067149232043017,0.001193355249966666,10000
0.9,2000,SVA,0.8759977676139159,0.04949220835833566,0.00018291688806563403,10000
0.9,5000,CP,0.8974680844127423,0.026797600778171803,3.266279278297274e-05,10000
0.9,5000,DFA,0.9004849589363243,0.028578097510647386,3.7326559797039176e-05,10000
0.9,5000,HFD,0.8865656662326528,0.05110369896245077,0.00019692854166193627,10000
0.9,5000,PSD,0.9215399779024341,0.051318565797949856,0.0002139344718216175,10000
0.9,5000,SVA,0.8789719231033863,0.04451020831068459,0.0001316675972646991,10000
